jmbg,ime,prezime,dat_zaposlenja,plata,mjesto,igraonica,administrator
1405004324939,Dunja,Todoroviæ,2018-05-06,430,78420,151528092,0
2309995838534,Danica,Lazareviæ,2020-02-03,360,75406,151528092,0
2404989898268,Lazar,Stefanoviæ,2016-02-04,360,71420,151528092,0
1206999369654,Strahinja,Æiriæ,2017-07-20,430,70260,151528092,0
3104996774582,Arsenije,Milojeviæ,2018-07-25,370,74450,151528092,1
2508000477954,Sara,Stankoviæ,2018-04-19,350,78430,169182940,0
2204999355638,Iskra,Vasiæ,2015-01-24,370,75420,169182940,0
0702985474665,Stefan,Blagojeviæ,2020-10-09,350,89101,169182940,0
2705986469269,Vukan,Paunoviæ,2018-02-28,440,70270,169182940,0
1804999496288,Ivan,Uroševiæ,2019-04-13,400,74470,169182940,1
2604001723962,Nina,Tomiæ,2018-12-02,410,76230,176485870,0
0604988958678,Staša,Živanoviæ,2017-02-03,380,79224,176485870,0
1906002559735,Vasilije,Rakiæ,2015-04-06,380,73301,176485870,0
1506984856423,Jakov,Tošiæ,2020-10-20,440,79291,176485870,0
1304998987974,Miljan,Stamenkoviæ,2020-03-28,450,75440,176485870,1
0906002937592,Sofija,Jankoviæ,2019-10-03,430,78400,205700778,0
1305993796956,Anja,Radovanoviæ,2020-06-04,420,75400,205700778,0
1208986434329,Luka,Mitiæ,2019-06-30,380,71360,205700778,0
0504997866775,Marko,Periæ,2017-02-10,430,70206,205700778,0
0308995687894,Sava,Ðurðeviæ,2016-03-07,410,74400,205700778,1
0404997834826,Ðurða,Petroviæ,2020-04-27,410,78220,264616476,0
1303004883534,Maša,Ivanoviæ,2019-10-28,400,76273,264616476,0
2402986276576,Hana,Ðuriæ,2015-07-21,410,79240,264616476,0
0603007223363,Bogdan,Pešiæ,2016-12-17,370,73220,264616476,0
2305985349388,Konstantin,Ivkoviæ,2018-01-11,400,76330,264616476,1
2706000927653,Minja,Živkoviæ,2019-09-16,380,79288,352334133,0
0606999374997,Anðela,Aleksiæ,2016-05-08,390,74317,352334133,0
0602982242254,Kristina,Gajiæ,2018-12-09,400,71350,352334133,0
2906996954466,Jovam,Matiæ,2015-02-04,430,78250,352334133,0
2605997435234,Damjan,Raduloviæ,2019-12-20,400,74270,352334133,1
1506996264943,Srna,Pavloviæ,2015-11-11,370,70206,352772045,0
2504996886232,Jana,Mitroviæ,2019-11-29,440,74400,352772045,0
0707987883672,Anðelija,Bogdanoviæ,2017-10-21,380,71216,352772045,0
1407998238287,Mihajlo,Zdravkoviæ,2018-06-05,350,78101,352772045,0
2602987857769,Miloš,Radoviæ,2019-10-12,450,76256,352772045,1
0607005257492,Petra,Kovaèeviæ,2017-06-16,430,75240,388246784,0
1807985453495,Elena,Milosavljeviæ,2017-02-09,350,79101,388246784,0
2606027525545,Andrej,Stojkoviæ,2019-07-24,390,88380,388246784,0
1902983458767,Maksim,Gavriloviæ,2019-02-12,360,78430,388246784,0
1503995774786,Zoran,Ðukiæ,2020-07-07,380,75420,388246784,1
0908996778687,Nika,Ðorðeviæ,2019-02-11,360,78250,473920565,0
1909995995942,Una,Saviæ,2016-10-28,380,74270,473920565,0
2602983634876,Jovana,Marinkoviæ,2016-11-09,370,71126,473920565,0
0505993228883,Nikola,Milanoviæ,2020-09-23,410,73280,473920565,0
